"titolo";"durata";"anno_di_uscita";"generi";"lingue";"regista";"casa_di_produzione";"tag";"trama"
"Dark Hall";96;2018;["thriller","fantastico","drammatico","orrore"];["inglese"];"Rodrigo Cortés Giráldez";"Fickle Fish Films|Nostromo Pictures|Temple Hill Entertainment";["horror","fantasy","fantascienza"];"Kit Gordy è una ragazzina problematica che viene mandata al collegio di Blackwood quando il suo carattere forte diventa troppo difficile da gestire per sua madre. Una volta arrivata Kit conosce l'eccentrica direttrice Madame Duret e incontra altre quattro studentesse della scuola anche loro con vite travagliate. Mentre esplorano i labirintici corridoi della scuola Kit e le altre ragazze scoprono che Blackwood nasconde un secolare segreto radicato nel paranormale. La ragazza una sera insieme a Veronica si intrufola in una stanza dove trova dei documenti appartenenti alle ragazze che frequentavano il collegio un tempo e notano che la gran parte di loro è deceduta per suicidi le ragazze però vengono sorprese e Veronica si assume la colpa facendo nascondere Kit Madame Duret consegna la ragazza ai fantasmi del collegio che si impossessano di lei Madame Duret racconta a Kit e Izzy le uniche due rimaste che esse servivano come tramite per gli artisti deceduti e che tutti avevano un dono; Ashley fa da tramite per Elizabeth una scrittrice morta prematuramente Sierra per un pittore che si firma T.C. Izzy per un matematico Kit per un pianista. La ragazza però corre in camera da Ashley cerca di aiutarla ma essa si suiciderà gettandosi dalla finestra Sierra muore in camera sua per malnutrizione Izzy si getterà tra le fiamme del fuoco appiccato accidentalmente da Kit la governante morirà nelle fiamme abbracciando il figlio defunto la professoressa di letteratura si sacrifica per mandare avanti i ragazzi e Madame Duret (dopo aver ucciso il professore di matematica) verrà posseduta e si darà fuoco mentre Jules si sacrificherà per Kit. Arrivata la polizia con l’ambulanza portano via Veronica e Kit quasi in fin di vita vede il padre mentre i paramedici la soccorrono e gli dice finalmente addio prima di risvegliarsi."
"Fight Club";151;1999;["drammatico"];["italiano"];"David Fincher";"20th Century Fox";["bipolare","combattimenti","consumismo","americano"];"Il protagonista è un uomo il cui vero nome non è mai pronunciato. Lavora come consulente nel ramo assicurativo di un'importante casa automobilistica. Si tratta dello stereotipo dello yuppie frustrato dalla vita moderna: schiavo del consumismo depresso insonne ansioso e stordito dal jet lag."
"Maze Runner-Il labirinto";113;2014;["azione"];["inglese"];"Wes Ball";"20th Century Fox";["azione","labirinto","runner"];"Un ragazzo di nome Thomas si sveglia, senza alcuna memoria del suo passato, in uno strano posto chiamato Glade. Popolato da altri ragazzi, il Glade è una struttura chiusa e circondata da alte mura di pietra, utili a proteggere i residenti dai Grievers, i mostri che vivono nel labirinto sottostante. Ogni giorno, alcuni dei ragazzi vengono scelti per avventurarsi nel labirinto e cercare di mapparne un modello nel tentativo di trovare una via di uscita, senza ottenere grandi risultati. L’arrivo di una ragazza in coma porterà con sé grandi risvolti..."
"Inception";148;2010;["Azione","Fantascienza","Thriller","Avventura"];["italiano","inglese","portoghese","spagnolo"];"Christopher Nolan";"Syncopy Films|Warner Bros|Legendary Pictures";["leonardodicaprio","warnerbrosfilm"];"Dom Cobb è un abilissimo ladro, il migliore al mondo quando si tratta della pericolosa arte dell'estrazione: ovvero il furto di preziosi segreti dal profondo del subconscio mentre si sogna, quando la mente è al massimo della sua vulnerabilità. Le abilità di Cobb ne hanno fatto un protagonista di primo piano nel mondo dello spionaggio industriale, ma lo hanno reso un fuggitivo ricercato in tutto il mondo, costretto a lasciarsi alle spalle tutto ciò che ha sempre amato. Ora Cobb ha una chance di redenzione: un ultimo lavoro potrebbe restituirgli la sua vita, ma solo se riuscirà a rendere possibile l'impossibile. Invece di effettuare un colpo perfetto, Cobb e il suo team devono riuscire nell'opposto: non devono rubare un'idea ma impiantarne una nella testa di qualcuno."
"Doraemon - Il film: Le avventure di Nobita e dei cinque esploratori";109;2015;["animazione"];["giapponese"];"Shinnosuke Yakuwa";"Asatsu DK";["doraemon","nobita"];" Una nuova avventura del gatto spaziale Doraemon e del suo piccolo amico Nobita, chiamati a un viaggio nel futuro per provare a modificare una sorte che si preannuncia non proprio felice, soprattutto sul lato sentimentale..."
"The Truman Show";103;1998;["Fantascienza","Drammatico","Satirico","Commedia"];["Inglese","Italiano"];"Peter Weir";"Paramount Pictures";["jimcarrey","tag2","tag3"];"Ogni secondo di ogni giorno che passa Truman è, a sua insaputa, il protagonista della soap opera documentaristica più lunga e seguita della televisione. Seaheaven, la cittadina dove Truman abita è in realtà un gigantesco teatro di posa dove amici e parenti sono tutti attori pagati che recitano la loro parte. Tutto va avanti fino al giorno in cui Truman comincia a sospettare qualcosa…"
"A Nightmare on Elm Street (Nightmare - Dal profondo della notte)";91;1984;["Horror","thriller"];["ENG","ITA"];"Wes Craven";"New Line Cinema|Media Home Entertainment|Smart Egg Pictures";["horror","scary","nightmare","wholesome"];"In Elm Street, Nancy Thompson e un gruppo di suoi amici (composto da Tina Gray, Rod Lane e Glen Lantz) sono tormentati nei loro sogni da un assassino artigliato di nome Fred Krueger. Nancy deve pensare velocemente, mentre Fred cerca di eliminarli uno per uno. Quando ti ha nel sonno, chi c'è a salvarti?"
"Io prima di te";120;2016;["Drammatico"];["Inglese"];"Thea Sharrock";"Warner Bros";["Drammatico","Romantico","Amore","Inghilterra"];"Louisa “Lou” Clark vive in una tipica cittadina della campagna inglese. Non sa bene cosa fare della sua vita, ha 26 anni e passa da un lavoro all’altro per aiutare la sua famiglia. Il suo inattaccabile buonumore viene però messo a dura prova quando si ritrova ad affrontare una nuova sfida lavorativa…"
"SherlockHolmes";128;2009;["Avventura"];["inglese"];"Guy Ritchie";"Lin Pictures|Silver Pictures|Village Roadshow Pictures|Wigram Productions";["Avventura","Azione","Giallo"];"L'astuto detective Sherlock Holmes e il suo fedele aiutante, il dottor Watson, sono chiamati ad affrontare uno strano criminale, appassionato di magia di nera, che riappare dalla tomba."
"Shutter Island";138;2010;["Thriller"];["Inglese","tedesco"];"Martin Scorsese";"Paramount Pictures|Columbia Pictures|Phoenix Pictures";["thriller","noir"];"Rachel Salado, paziente del manicomio criminale sull'isola di Shutter, scompare all'improvviso. L'agente federale Teddy Daniels, affiancato dall'ufficiale Chuck Aule, deve indagare per risolvere il mistero."
"1917";119;2019;["Guerra","Fiction","Film storico-drammatico","Storia","Epico","Azione","Drammatico"];["Inglese","francese","tedesco","italiano"];"Sam Mendes";"DreamWorks|Neal Street Productions|Reliance Entertainment|Amblin Partners|New Republic Pictures";["1917"];"Due giovani soldati britannici affrontano i momenti più crudeli della Prima Guerra Mondiale quando intraprendono una pericolosa missione per salvare 1.600 uomini da morte certa."
"Jurassic World";124;2015;["Azione","Fantascienza","Avventura","Thriller"];["Inglese","Italiano"];"Colin Trevorrow";"Universal Studios|Legendary Pictures|Amblin Entertainment";["dinosauri","christpratt"];"Situato vicino al mare in Costa Rica, l'esclusivo villaggio vacanze Jurassic World ospita una serie incredibile di dinosauri creati geneticamente, incluso un esemplare di Indominus rex, uno degli animali più intelligenti e dal carattere aggressivo. Quest'ultimo riesce ad evadere, scatenando una reazione a catena."
"Doctor Strange";115;2016;["azione","fantastico","avventura"];["inglese","italiano"];"Scott Derrickson";"Marvel Studios";["Marvel","DoctorStrange","Action"];"Un medico resta vittima di un tragico incidente, ma viene aiutato da uno stregone che lo inizia alle arti magiche, grazie alle quali egli riesce a redimersi e a combattere le forze oscure che minacciano l'umanità."
"1922";101;2017;["Horror","Thriller"];["Inglese","Italiano"];"Zak Hilditch";"Campfire";["horror","suspance","paura"];"Siamo nel Nebraska, nel 1922. Wilfred James (Thomas Jane) vive in modo semplice e modesto con la moglie Arlette (Molly Parker) e il figlio Henry (Dylan Schmid), gestendo una fattoria con cui spera un giorno di ottenere guadagni sostanziosi. Peccato che i piani di Arlette, che vuole vendere la propria parte di terreno e trasferirsi in città, interferiscano con le ambizioni di Wilfred, il quale fatica anche a sopportare l'idea di una consorte non assoggettata all'autorità patriarcale. Facendo leva sulle passioni adolescenziali del figlio viene quindi pianificato un omicidio, il cui ricordo tormenterà per sempre gli uomini della famiglia James. Il regista Zak Hilditch, che ha anche curato l'adattamento del testo di King, punta sulla dimensione morale, unita al contesto rurale rappresentato con un occhio a tratti malickiano, più che sull'orrore puro. Certo, fantasmi e allucinazioni fanno occasionalmente parte del repertorio, ma la vera tensione deriva dal tormento psicologico e spirituale del protagonista, il nucleo umano di una storia forse fin troppo riconoscibile (le tematiche, oltre ad essere care a King, evocano spudoratamente alcuni dei racconti più noti di altre due firme immortali dell'horror, Edgar Allan Poe e H.P. Lovecraft), ma comunque efficace nella sua demolizione progressiva dei valori d'altri tempi e della stabilità mentale di un uomo distaccato dalla realtà (la cui voce narrante inaffidabile, sotto forma di confessione otto anni dopo, scandisce i vari orrori)."
"Bird Box";124;2018;["Horror"];["italiano"];"Susanne Bier";"Scott Stuber|Universal Pictures|Bluegrass Films";["birdbox","horror"];"lo metto dopo!"
"Rush";130;2013;["biografico","drammatico","sportivo"];["inglese"];"Ron Howard";"Working Title Films";["Ferrari"];"A metà degli anni Settanta gli appassionati di Formula 1 assistono a un acceso duello per la conquista del titolo mondiale. James Hunt bello sexy e affascinante come una rockstar si ritrova a fronteggiare il suo rivale di sempre Niki Lauda più umile conservatore e schivo nei confronti della vita mondana..."
